title,link,location,company,salary,description
Frontend Разработчик (Senior/Middle Frontend Developer),https://ekaterinburg.hh.ru/vacancy/41506759?query=react,Нур-Султан,ТОО УМНЫЕ ГОРОДА,,"Участие в код-ревью, обсуждении и принятии технических решений. ● Рефакторинг и оптимизация верстки и кода."
Frontend-разработчик (React) в Медиапроекты,https://ekaterinburg.hh.ru/vacancy/40759159?query=react,Москва,Mail.ru Group,,Работа над группой проектов в команде с другими frontend- и backend-разработчиками. Разработка страниц десктопных и мобильных версий медиапроектов Mail.ru...
React Native developer,https://ekaterinburg.hh.ru/vacancy/38449693?query=react,Краснодар,ООО Новый Уровень,,Разработка с нуля кроссплатформенного приложения для коммерческой платформы. Ведение документации и сопровождение кода. Написание юнит-тестов.
"Веб-разработчик Full Stack JS Developer (Node.js, React.js) удаленно",https://ekaterinburg.hh.ru/vacancy/41192566?query=react,Новосибирск,INGURU.RU,130 000-250 000 руб.,"Участие в создании и развитии серверной части наших приложений (сайт, личные кабинеты клиентов и партнеров, внутренние веб-приложения), мобильные приложения..."
React Native разработчик,https://ekaterinburg.hh.ru/vacancy/41213172?query=react,Москва,ООО Брискли,от 150 000 руб.,"Создание и поддержка мобильных приложений на ReactNative для IOS и Android. R&D, рефакторинг и обеспечение технического долга. "
Разработчик React Developer,https://ekaterinburg.hh.ru/vacancy/41435015?query=react,Астрахань,ООО Инста,,"Разработка и сопровождение мобильных приложений компании (React Native). Проектирование и разработка нового функционала. Рефакторинг, унификация и поддержание в работоспособном состоянии..."
"Веб-разработчик Full Stack JS Developer (Node.js, React.js) удаленно",https://ekaterinburg.hh.ru/vacancy/41192567?query=react,Краснодар,INGURU.RU,130 000-250 000 руб.,"Участие в создании и развитии серверной части наших приложений (сайт, личные кабинеты клиентов и партнеров, внутренние веб-приложения), мобильные приложения..."
Front-end Developer (React),https://ekaterinburg.hh.ru/vacancy/41201601?query=react,Минск,ООО Норс АйТи Групп,,Development of new company services. Optimisation and support of current products.
React / React Native / Node fullstack dev,https://ekaterinburg.hh.ru/vacancy/40701218?query=react,Новосибирск,ООО Шарп Девелоперс,120 000-180 000 руб.,+ Social Platform SDKs & APIs. + Bluetooth. Auth - Passport js.
React Developer,https://ekaterinburg.hh.ru/vacancy/40624995?query=react,Минск,IBA Group,,"Разработка на JavaScript, React."
"Веб-разработчик Full Stack JS Developer (Node.js, React.js) удаленно",https://ekaterinburg.hh.ru/vacancy/41192564?query=react,Санкт-Петербург,INGURU.RU,130 000-250 000 руб.,"Участие в создании и развитии серверной части наших приложений (сайт, личные кабинеты клиентов и партнеров, внутренние веб-приложения), мобильные приложения..."
React / React Native / Node fullstack dev,https://ekaterinburg.hh.ru/vacancy/40701219?query=react,Симферополь,ООО Шарп Девелоперс,120 000-180 000 руб.,+ Social Platform SDKs & APIs. + Bluetooth. Auth - Passport js.
Frontend-разработчик (Краснодар),https://ekaterinburg.hh.ru/vacancy/41175495?query=react,Краснодар,ООО Винтео,100 000-150 000 руб.,"Работу над продуктом от предположений, до реализации, сбора и анализа метрик. С точки зрения разработки: Модульные тесты: Jest. "
JavaScript - разработчик (React),https://ekaterinburg.hh.ru/vacancy/41192825?query=react,Москва,ООО ИК СИБИНТЕК,,"Реализация интерфейсного решения на базе. Работа, получение данных от Web-API . Создание, развитие системы настроек. Создание, развитие системы отчетности. "
"Frontend developer (JavaScript, React) remote",https://ekaterinburg.hh.ru/vacancy/39669233?query=react,Санкт-Петербург,ООО АРЕС,до 230 000 руб.,"Разработка новой функциональности в проектах заказной разработки ПО (проекты для банка, работа с высоконагружеными системами в сфере Финтех ) . "
"Ведущий frontend-разработчик (JavaScript, React)",https://ekaterinburg.hh.ru/vacancy/40652715?query=react,Тула,Elfsight Inc.,110 000-150 000 руб.,Разработка и развитие продуктов и сервисов Elfsight. Разработка и поддержка библиотеки UI-компонентов.
Full Stack JS Developer (React +Node.js) удалённо в команду дейтинг-стартапа,https://ekaterinburg.hh.ru/vacancy/40659333?query=react,Москва,ООО Дейтер,140 000-180 000 руб.,"Писать backend (NodeJS), сейчас это 10-15% от всей кодовой базы. Писать frontend (React). Изучить и помогать документировать архитектуру проекта. "
React + React Native + Node fullstack dev,https://ekaterinburg.hh.ru/vacancy/40690146?query=react,Екатеринбург,ООО Шарп Девелоперс,120 000-180 000 руб.,+ Social Platform SDKs & APIs. + Bluetooth. Auth - Passport js.
Программист React.js (middle / senior),https://ekaterinburg.hh.ru/vacancy/41338216?query=react,Москва,Арт Проект,80 000-120 000 руб.,"Мы разрабатываем он-лайн сервис, который позволяет создавать и редактировать документы в режиме реального времени (аналог Google Docs с встроенным..."
Senior front-end developer (React),https://ekaterinburg.hh.ru/vacancy/40121030?query=react,Санкт-Петербург,Fortis,190 000-220 000 руб.,Технологический стек:
Начинающий Frontend-разработчик,https://ekaterinburg.hh.ru/vacancy/41174963?query=react,Хабаровск,Программы учета,от 40 000 руб.,Разработка SPA-приложений (Angular/React).
Middle Frontend Developer (React),https://ekaterinburg.hh.ru/vacancy/41325442?query=react,Казань,ООО М5,,"Разрабатывать и поддерживать клиентские приложения. Разрабатывать переиспользуемые модули платформы, с последующей интеграцией в приложения. Следить за производительностью приложения, проводить оптимизацию. "
Middle Frontend React Dev,https://ekaterinburg.hh.ru/vacancy/41150659?query=react,Москва,"Агентство 21 век, КЦ",150 000-220 000 руб.,Компания-разработчик IT решений для рынка недвижимости в поисках Middle React разработчиков. Продукты компании: - FilinCam - профессиональная 3D камера для...
Full-Stack разработчик React js (Middle / Senior),https://ekaterinburg.hh.ru/vacancy/41416877?query=react,Москва,Mainsoft,1 800-2 800 USD,"Разработка нового функционала. Доработка и поддержка текущего кода. Разработка Frontend, методов взаимодействия с БД. Умение работать с CSS/SASS. "
Frontend Developer / React,https://ekaterinburg.hh.ru/vacancy/37751421?query=react,Москва,Сбер для экспертов,,Участие в разработке аналитических продуктов платформы кибербезопасности Сбербанка: - система мониторинга событий безопасности. - аналитическая платформа расследования инцидентов мошенничества. Настройка webpack.
Front-end React разработчик,https://ekaterinburg.hh.ru/vacancy/41163748?query=react,Рязань,"Иннотех, Группа компаний",,"разработка SPA (Интернет-банк, Маркетплейс). - сode-review. - техническая оценка требований, участие в выборе деталей реализации. - живое Agile-обсуждение постановки, дизайна..."
Senior Frontend разработчик (ReactJS),https://ekaterinburg.hh.ru/vacancy/41153132?query=react,Нур-Султан,ТОО iSATE,400 000-900 000 KZT,Ведущая роль на проекте. Разработка новых ReactJS компонентов. Доработка существующих ReactJS компонентов. Проверка Pull Request-ов участников команды. 
Frontend-разработчик (React),https://ekaterinburg.hh.ru/vacancy/40665618?query=react,Москва,Rambler Group,,CSS-in-JS.
"Ведущий frontend-разработчик (JavaScript, React)",https://ekaterinburg.hh.ru/vacancy/40665863?query=react,Санкт-Петербург,Elfsight Inc.,110 000-150 000 руб.,Разработка и развитие продуктов и сервисов Elfsight. Разработка и поддержка библиотеки UI-компонентов.
"Ведущий frontend-разработчик (JavaScript, React)",https://ekaterinburg.hh.ru/vacancy/40684929?query=react,Екатеринбург,Elfsight Inc.,110 000-150 000 руб.,Разработка и развитие продуктов и сервисов Elfsight. Разработка и поддержка библиотеки UI-компонентов.
React Developer,https://ekaterinburg.hh.ru/vacancy/41196597?query=react,Нижний Новгород,ООО ЛАД,,
Frontend-разработчик,https://ekaterinburg.hh.ru/vacancy/40590231?query=react,Орел,Docsvision,,Разработкой web-приложений со стеком TypeScript+React.
React Developer,https://ekaterinburg.hh.ru/vacancy/41183615?query=react,Минск,Belitsoft,,"Competitive ""white"" salary tightly correlated with real USD exchange rate and applicant's work results. Welcome on board!"
Front-end developer,https://ekaterinburg.hh.ru/vacancy/41408998?query=react,Краснодар,ООО Семейные Традиции,20 000-80 000 руб.,"Разработка внутрикорпоративной CRM, сайта."
Front end React developer (remote),https://ekaterinburg.hh.ru/vacancy/41101564?query=react,Москва,ООО Медиалайн,170 000-270 000 руб.,"Продукт компании - Adverto, международная доска объявлений."
Разработчик JavaScript (Node.js Back-end),https://ekaterinburg.hh.ru/vacancy/38820488?query=react,Москва,OneTwoTrip,120 000-200 000 руб.,Разработка нового и поддержка текущего функционала системы.
Front-end Developer,https://ekaterinburg.hh.ru/vacancy/37620901?query=react,Ульяновск,ООО РОДЖИИ ЕВРОПА,120 000-200 000 руб.,Разработка новых web-интерфейсов для продуктов компании.
Frontend разработчик (React),https://ekaterinburg.hh.ru/vacancy/40938216?query=react,Москва,ООО ОТР,,"Также мы выполняем десятки других аналитических, финансовых, проектов в области госсектора, в том числе разработка и внедрение ЭЦП на государственном..."
Senior React/React Native Developer,https://ekaterinburg.hh.ru/vacancy/40438842?query=react,Минск,Social Discovery Ventures,до 4 500 USD,"Разработка ПО для web, участие в проектировании ПО. Участие в проектировании и разработке публичного API. Выработка технических решений, участие в..."
Frontend Developer (React),https://ekaterinburg.hh.ru/vacancy/40867525?query=react,Москва,ООО ЮВК-Консалт,от 180 000 руб.,"Активно участвовать в разработке, вникать в детали технической реализации проекта и участвовать в построении новых решений и экспериментов. "
Junior Frontend-разработчик (React),https://ekaterinburg.hh.ru/vacancy/41114848?query=react,Санкт-Петербург,ООО Высокотехнологичные Розничные Решения,50 000-90 000 руб.,Разработка клиентской части веб-приложений на React.js. Адаптивная верстка по методологии БЭМ.
Middle/Senior Frontend разработчик,https://ekaterinburg.hh.ru/vacancy/41447759?query=react,Пермь,IBS,,"Участие в проекте разработки. Разработка фронтэнда с использование стека Javascript/Typescript (React, сторонние библиотеки типа Redux, Antd, Echarts). "
React разработчик,https://ekaterinburg.hh.ru/vacancy/41181261?query=react,Ростов-на-Дону,ИП Наварич Станислав Юрьевич,40 000-50 000 руб.,
Frontend разработчик (React),https://ekaterinburg.hh.ru/vacancy/41131854?query=react,Москва,МФТИ ГУ,от 100 000 руб.,Разработка пользовательских интерфейсов (JS/React). Участие в разработке архитектуры клиентской части.
Разработчик JavaScript (React),https://ekaterinburg.hh.ru/vacancy/35709419?query=react,Москва,«Газпромбанк» (Акционерное общество),,"Разработка автоматизированных рабочих мест пользователей. Реализация функциональных требований, предъявленных к рабочим местам. Написание компонент, взаимодействующих с серверной частью. "
Frontend developer (React),https://ekaterinburg.hh.ru/vacancy/37620052?query=react,Новосибирск,ООО ИнСистем,от 100 000 руб.,
Junior frontend-разработчик,https://ekaterinburg.hh.ru/vacancy/40627285?query=react,Казань,Гос. корп. ГБУ Безопасность дорожного движения,от 35 000 руб.,"Доработка web-интерфейса облачной платформы по управлению цифровыми проектами анализа и обработки больших данных (полный рабочий день в офисе, удаленная..."
Frontend разработчик (React.js) в МТС Финтех,https://ekaterinburg.hh.ru/vacancy/41244909?query=react,Москва,ПАО МТС Банк. IT,,"Проектирование и разработка комплекса SPA приложений на React/Apollo. Проектирование и создание компонентов пользовательского интерфейса. Сопровождение текущей версии системы, устранение..."
Стажер-разработчик Frontend,https://ekaterinburg.hh.ru/vacancy/41169842?query=react,Волжский(Волгоградская область),DeLaWeb,от 20 000 руб.,"Разработка новых проектов, развитие и поддержка существующих. Написание качественного читабельного кода. Применять свои знания на практике и получать от наставников..."
Senior Front-end developer,https://ekaterinburg.hh.ru/vacancy/41648091?query=react,Минск,APALON,,"Самостоятельно вести разработку и поддержку проекта на React. Тесно взаимодействовать с QA, PdM и Backend командой."
"Frontend разработчик (React, TypeScript)",https://ekaterinburg.hh.ru/vacancy/41160994?query=react,Санкт-Петербург,ООО Центр Орбита,,Кросс-браузерная и кросс-платформенная разработка приложений банка.
Веб-разработчик,https://ekaterinburg.hh.ru/vacancy/36454398?query=react,Санкт-Петербург,4people,107 000-150 000 руб.,Разработка новых сервисов компании. Оптимизация и поддержка текущих продуктов.
Senior Front-end Developer (удалённо),https://ekaterinburg.hh.ru/vacancy/41101171?query=react,Москва,Школа программирования Kodland,от 200 000 руб.,Расти вместе с командой и компанией. Каждый член команды - влияет на продукт и результат.
Middle+ Frontend-разработчик (React/Redux/TypeScript),https://ekaterinburg.hh.ru/vacancy/40985090?query=react,Тюмень,ООО АРКОНС ГРУПП,от 60 000 руб.,Участие в разработка frontend-архитектуры проекта. Перенос существующего проекта на React JS. Разработка SPA. Оптимизация компонент под скорость загрузки. Тестирование.
Front-end разработчик React Native​​​​​​​,https://ekaterinburg.hh.ru/vacancy/41110282?query=react,Киев,TON Labs,2 000-4 500 USD,"1. Разработка общей библиотеки компонент для различных платформ (iOS, Android и Web) и поддержка в соответствии с дизайн системой. 2. "
React Developer,https://ekaterinburg.hh.ru/vacancy/41141498?query=react,Москва,Toughbyte,,"Разработка фронтенд-составляющей информационной системы с функциями интеллектуального поиска, социального взаимодействия, публикации. Адаптация для мобильных устройств (PWA). Интеграция с внешними..."
React Developer,https://ekaterinburg.hh.ru/vacancy/39615218?query=react,Минск,Godel Technologies Europe,,Working closely with design and UX to deliver the best possible customer experience that balances commercial need and technical constraints...
React разработчик (удаленно),https://ekaterinburg.hh.ru/vacancy/41163961?query=react,Москва,GetTask,120 000-180 000 руб.,Дорабатывать и поддерживать личный кабинет клиента. Дорабатывать и поддерживать рабочее место диспетчеров.
Web-разработчик fullstack (Laravel + Vue.JS),https://ekaterinburg.hh.ru/vacancy/41499684?query=react,Казань,Vasterra,50 000-90 000 руб.,Разработка и поддержка сайтов и веб-приложений.
HTML-верстальщик,https://ekaterinburg.hh.ru/vacancy/40540985?query=react,Новосибирск,ООО АйтиСмартФинанс,,"Управление контентом: подготовка изображений, верстка текстовых страниц. Верстка страниц для последующей привязки ее к React. Поддержка действующего и разработка нового..."
Senior React Native (удалённо),https://ekaterinburg.hh.ru/vacancy/41238771?query=react,Краснодар,Zebrains,,Работа над кроссплатформенными мобильными приложениями (React Native под iOS и Android). - Взаимодействие с бэкенд-командой и командой тестирования. - 
Frontend разработчик Middle (React/TypeScript),https://ekaterinburg.hh.ru/vacancy/41175920?query=react,Краснодар,Holyweb,80 000-130 000 руб.,"Разработка Web приложений. Разработка архитектуры программного обеспечения. Разработка программного обеспечения с использованием JavaScript, React.JS."
Backend-разработчик Node.js,https://ekaterinburg.hh.ru/vacancy/40600196?query=react,Екатеринбург,ООО Мой Стенд,от 100 000 руб.,"Реализовывать бизнес-логику приложений. Создавать микросервисы и их интеграцию с приложениями. Проводить код-ревью, участвовать в технических обсуждениях."
Frontend Developer,https://ekaterinburg.hh.ru/vacancy/40653687?query=react,Ростов-на-Дону,FIRECODE,60 000-140 000 руб.,"90% задач - это разработка проектов с нуля и работа в команде. Минимум легаси-кода, максимум разработки новых проектов. "
Frontend-разработчик/ HTML-верстальщик,https://ekaterinburg.hh.ru/vacancy/41086985?query=react,Москва,BR Lab,100 000-130 000 руб.,Работа над крупными проектами. Поддержка сайта. Верстка новых проектов и доработка существующих.
Middle+/Senior Frontend (React) разработчик,https://ekaterinburg.hh.ru/vacancy/41101896?query=react,Пермь,ООО АйТиКвик,180 000-230 000 руб.,Глобальная задача - разработка мобильной версии. - Справочной системы на React. - Немного - поддержка легаси на jQuery. CI/CD. Второй проект: Сервис по...
"Фронт-энд разработчик (React.js / React, Middle/Senior)",https://ekaterinburg.hh.ru/vacancy/41173873?query=react,Екатеринбург,ООО КАРИ,,Разработка фронтэнда на React.js.
Full-Stack разработчик React js (Middle / Senior),https://ekaterinburg.hh.ru/vacancy/41416878?query=react,Киев,Mainsoft,1 800-2 800 USD,"Разработка нового функционала. Доработка и поддержка текущего кода. Разработка Frontend, методов взаимодействия с БД. Интеграция сторонних библиотек и внешних сервисов."
Программист React.js (middle / senior),https://ekaterinburg.hh.ru/vacancy/41338218?query=react,Челябинск,Арт Проект,60 000-90 000 руб.,"Мы разрабатываем он-лайн сервис, который позволяет создавать и редактировать документы в режиме реального времени (аналог Google Docs с встроенным..."
Middle front-end разработчик (React),https://ekaterinburg.hh.ru/vacancy/41102202?query=react,Санкт-Петербург,Sborka Project,от 110 000 руб.,Разрабатывать сайты и веб-приложения с нуля. Дорабатывать существующие проекты. Работать как в паре с верстальщиком так и самостоятельно. 
Frontend JavaScript,https://ekaterinburg.hh.ru/vacancy/41471248?query=react,Москва,ООО UMA.Tech,,"Быстрое создание прототипов и итерационное развитие продуктов на основе аналитики, тестирования гипотез и интеграции с лучшими сервисами и командами. "
Frontend-разработчик (React.js),https://ekaterinburg.hh.ru/vacancy/41126213?query=react,Москва,ООО Агрегатор Приключений,140 000-200 000 руб.,"Ближайшие цели - разработка MVP, релиз и захват рынка. Срок разработки проекта - 3-5 мес. - Работа с next.js, redux, rematch, thunk."
"Веб-программист PHP, JS",https://ekaterinburg.hh.ru/vacancy/37630104?query=react,Иркутск,ООО ЭВРИСОФТ,от 30 000 руб.,"Создание модулей и реализация взаимодействий со сторонними сервисами при помощи API (Bitrix24, amoCRM, и т.д.). Разработка и доработка..."
Frontend-разработчик (React),https://ekaterinburg.hh.ru/vacancy/41155462?query=react,Москва,ПАО Плюс Банк,,Разрабатывать веб-приложения. Проводить оценку задач бэклога. Вести техническую документацию. Работать в продуктовых группах. Тестировать результаты работы в различных браузерах.
"Frontend разработчик (React, TypeScript)",https://ekaterinburg.hh.ru/vacancy/41160958?query=react,Москва,ООО Центр Орбита,,Кросс-браузерная и кросс-платформенная разработка приложений банка.
Front-end Developer (React),https://ekaterinburg.hh.ru/vacancy/38811250?query=react,Самара,"EPAM Systems, Inc.",,Мы работаем в тесном ежедневном взаимодействии с заказчиком.
"Frontend-разработчик (JavaScript, React)",https://ekaterinburg.hh.ru/vacancy/39197771?query=react,Казань,ГК InnoSTage,,Информационной безопасности. Инфраструктурных решений (серверное и сетевое направление). Разработка программного обеспечения и web - проектов.
Senior/Middle Front-End разработчик (React),https://ekaterinburg.hh.ru/vacancy/41101854?query=react,Москва,USETECH,140 000-220 000 руб.,"Серебряный призер в номинации ""IT-проект, изменивший бизнес"" от Value-Added People с проектом разработки системы онлайн трансляции FIDE WorldChess. "
Middle Front-end разработчик,https://ekaterinburg.hh.ru/vacancy/38832352?query=react,Новосибирск,Кадровое агентство Алексея Сухорукова,70 000-120 000 руб.,Разработкой веб-интерфейсов для собственных продуктов компании. Рефакторингом и структуризацией кода. Оценкой и контролем сроков реализации задач. Взаимодействовать с группой...
"FullStack (React.js + Node.js) Developer, Media Conglomerate",https://ekaterinburg.hh.ru/vacancy/40047292?query=react,Казань,DataArt,,О работе. DataArt участвует в модернизации ПО ключевых областей бизнеса одного из крупнейших музыкальных концернов. Разрабатываемые нами решения затрагивают различные...
Ведущий Front-end разработчик (ReactJS),https://ekaterinburg.hh.ru/vacancy/40398983?query=react,Санкт-Петербург,Лига Цифровой Экономики,,Проектирование и разработка конструктора семантической модели в Metabase на React. Функционал экспорта отчётов BI. Доработка web-интерфейса для внедрения функций...
Frontend Developer,https://ekaterinburg.hh.ru/vacancy/37589590?query=react,Москва,Homeapp,от 140 000 руб.,"Внутренняя CRM-система для наших экспертов по недвижимости. Мобильное приложение на React Native, которое будет необходимо модернизировать почти с нуля. "
"FullStack (React.js + Node.js) Developer, Media Conglomerate",https://ekaterinburg.hh.ru/vacancy/40047298?query=react,Нижний Новгород,DataArt,,О работе. DataArt участвует в модернизации ПО ключевых областей бизнеса одного из крупнейших музыкальных концернов. Разрабатываемые нами решения затрагивают различные...
Frontend-разработчик React,https://ekaterinburg.hh.ru/vacancy/40600184?query=react,Екатеринбург,ООО Мой Стенд,от 90 000 руб.,"Сайт - mystand.io. Разрабатывать интерфейс веб-сервисов. Проводить код-ревью, участвовать в технических обсуждениях."
Middle Frontend разработчик,https://ekaterinburg.hh.ru/vacancy/41150826?query=react,Новосибирск,АнтиТренинги cервис дистанционного обучения,80 000-100 000 руб.,Активно участвовать во всех этапах разработки: от сбора и анализа требований до написания кода и выкатки в релиз. 
"FullStack (React.js + Node.js) Developer, Media Conglomerate",https://ekaterinburg.hh.ru/vacancy/40047288?query=react,Санкт-Петербург,DataArt,,О работе. DataArt участвует в модернизации ПО ключевых областей бизнеса одного из крупнейших музыкальных концернов. Разрабатываемые нами решения затрагивают различные...
Frontend-разработчик (React/Redux),https://ekaterinburg.hh.ru/vacancy/39751770?query=react,Санкт-Петербург,ООО Сервисный центр Транстелематика,,Разработка новых продуктов компании. Поддержка и развитие текущей архитектуры. Участие в планировании и оценке задач. Участие в проектирование интерфейсов. 
Web-разработчик/frontend разработчик в Kanbanchi,https://ekaterinburg.hh.ru/vacancy/41135473?query=react,Саратов,ООО ЛАР,,
Senior Front-End Developer (CoinsPaid),https://ekaterinburg.hh.ru/vacancy/41415304?query=react,Минск,SoftSwiss,,Оценка задач и участие в планировании работ. Разработка пользовательских интерфейсов на React/Redux. Работа с REST API и websocket. 
Frontend Developer (React),https://ekaterinburg.hh.ru/vacancy/37754727?query=react,Санкт-Петербург,ООО ТекФорс Инжиниринг,от 160 000 руб.,Разработка новых фич на react на основе готовых ui-элементов. Переписывание старого функционала с Angular 6 на react (остатки). 
Ведущий JavaScript (React),https://ekaterinburg.hh.ru/vacancy/41079229?query=react,Москва,ООО СИДИКС КОНСАЛТИНГ,,Участие в интересных проектах в роли разработчика/руководителя группы. Участие в пресейлах. Руководство группой разработчиков. Развитие практики по направлению. 
Frontend разработчик (React),https://ekaterinburg.hh.ru/vacancy/40603055?query=react,Новосибирск,Bell Integrator,,Разработка системы/сервисов для автоматизации продуктовых процессов крупного банка. Работа в команде.
Front-end разработчик (React),https://ekaterinburg.hh.ru/vacancy/40626804?query=react,Чебоксары,ООО ИСЕРВ,,ISERV в поисках React разработчика. 1. Анализ и улучшение архитектуры приложения. 2. Проектирование и создание пользовательских интерфейсов. 3. 
"FullStack (React.js + Node.js) Developer, Media Conglomerate",https://ekaterinburg.hh.ru/vacancy/40047301?query=react,Новосибирск,DataArt,,О работе. DataArt участвует в модернизации ПО ключевых областей бизнеса одного из крупнейших музыкальных концернов. Разрабатываемые нами решения затрагивают различные...
React Native Developer,https://ekaterinburg.hh.ru/vacancy/41405347?query=react,Минск,iTechArt Group,,Разработку кроссплатформенных приложений на React Native. Участие в оценке и планировании проекта. Перевод дизайнов и требований к приложению в код...
Преподаватель программирования Frontend-программист (React),https://ekaterinburg.hh.ru/vacancy/41419908?query=react,Ташкент,Inflex Inc TM Personal Development Process,10 000 000-30 000 000 сум,Обучать слушателей веб программированию. Подготавливать презентационные уроки. Отслеживать результаты обучения. Грамотно преподавать.
Frontend-разработчик (React),https://ekaterinburg.hh.ru/vacancy/41128030?query=react,Калининград,Почта Банк,,
Frontend developer (React),https://ekaterinburg.hh.ru/vacancy/41151594?query=react,Санкт-Петербург,ООО АрБуст,,Разработка фронтенда / мобильных приложений. Поддержка существующих проектов.
Front-end Developer (Polotsk),https://ekaterinburg.hh.ru/vacancy/39856461?query=react,Полоцк,iTechArt Group,,"Участие в анализе требований заказчика, подготовке технических решений, планировании работы и разработке архитектуры проекта. Разработка новых, рефакторинг и редизайн существующих..."
"FullStack (React.js + Node.js) Developer, Media Conglomerate",https://ekaterinburg.hh.ru/vacancy/40047579?query=react,Краснодар,DataArt,,О работе. DataArt участвует в модернизации ПО ключевых областей бизнеса одного из крупнейших музыкальных концернов. Разрабатываемые нами решения затрагивают различные...
Middle / Senior Frontend developer,https://ekaterinburg.hh.ru/vacancy/32611281?query=react,Санкт-Петербург,ООО МедиаСофт,80 000-160 000 руб.,
Frontend-разработчик (React),https://ekaterinburg.hh.ru/vacancy/41071914?query=react,Чебоксары,Diasoft,,Unit-тестами на Jest. Работали с системами обмена макетов Figma/Zeppelin. Оборудование и ресурсы для решения производственных задач. 
Frontend developer (React),https://ekaterinburg.hh.ru/vacancy/41127719?query=react,Санкт-Петербург,HR Development,до 170 000 руб.,
JavaScript developer,https://ekaterinburg.hh.ru/vacancy/41107372?query=react,Казань,ИП Ковальчук Кирилл Владимирович,1 900-4 000 USD,"You will be ​technically sound and has a “can do” attitude​ working with JavaScript, Node.js Express, MongoDB, React, Flow, GraphQL. "
Frontend-разработчик (React),https://ekaterinburg.hh.ru/vacancy/41128011?query=react,Санкт-Петербург,Почта Банк,,
Frontend-разработчик (react),https://ekaterinburg.hh.ru/vacancy/38532190?query=react,Москва,АО ФИНАМ,,Разрабатывать React приложения.
React Native Developer (Gomel),https://ekaterinburg.hh.ru/vacancy/41182385?query=react,Гомель,iTechArt Group,,"Разработка кроссплатформенных приложений на React Native. Участие в оценке, планировании и разработке архитектуры проекта. Перевод дизайнов и требований к приложению..."
Старший frontend-разработчик (react/redux),https://ekaterinburg.hh.ru/vacancy/41087959?query=react,Новосибирск,Noveo,,"используя экосистему React (React, Redux, Saga) и другие передовые технологии. Участие во внутренних активностях (контроль архитектуры и качества кода, оценки..."
Frontend-разработчик,https://ekaterinburg.hh.ru/vacancy/41085797?query=react,Тамбов,ООО Интех,от 30 000 руб.,
"Middle Frontend Developer (JavaScript, React)",https://ekaterinburg.hh.ru/vacancy/39920713?query=react,Санкт-Петербург,Недра - Новые Цифровые Ресурсы Промышленных Активов,,Разработка и отладка клиентской логики приложений. Верстка по макетам. Участие в код-ревью. Участие в обсуждении макетов с дизайнером и...
Front-end junior разработчик (React),https://ekaterinburg.hh.ru/vacancy/41163229?query=react,Екатеринбург,TOT Systems,50 000-65 000 руб.,"Планировать свою работу. Смотреть чужой код, показывать свой. TypeScript. React (+ MobX). Material UI. Docker. Gitlab. Back-end на Scala."
Middle Front-End (React.js) Engineer,https://ekaterinburg.hh.ru/vacancy/41107378?query=react,Воронеж,DataArt,,"Обучение английскому языку: курсы, общение с коллегами и клиентами из разных стран. - Поддержка докладчиков, выступающих на конференциях и встречах технологических..."
Frontend-разработчик,https://ekaterinburg.hh.ru/vacancy/41403142?query=react,Нур-Султан,ТОО Crocos (Крокос),150 000-350 000 KZT,Разработка клиентских front-end приложений для проектов компании. Оптимизация производительности клиентской части веб-приложений. Миграция на новые технологии существующих решений. 
Разработчик React Native,https://ekaterinburg.hh.ru/vacancy/41165315?query=react,Йошкар-Ола,Omega,,"Разработка мобильных приложений на React Native. Доработка, оптимизация и поддержка приложения. Участие в развитии проекта: генерация идей, разработка нового функционала. "
Middle Frontend-разработчик,https://ekaterinburg.hh.ru/vacancy/41123382?query=react,Алматы,ТОО УМНЫЕ ГОРОДА,,Разработка клиентских приложений web.
"Frontend разработчик (JavaScript, React)",https://ekaterinburg.hh.ru/vacancy/40565533?query=react,Омск,ООО Компания развития доступных систем,,"Проектирование и разработка модулей финансовой системы на Node.js (облачная АИС). Техническое развитие системы (интеграционные сервисы с телефонией, смс-сервисами, налоговой..."
Frontend разработчик React.js (удаленно),https://ekaterinburg.hh.ru/vacancy/41079254?query=react,Казань,2050.Digital,,"Имеешь представление о структурах данных: граф, дерево, стек и т.п. Знаком с agile разработкой. Работа над проектами Индустрии 4..."
Frontend-разработчик,https://ekaterinburg.hh.ru/vacancy/41112574?query=react,Уфа,Ньювижн тэкнолоджис,50 000-120 000 руб.,Развитие существующего продукта. Разработка новой системы.
Front-end Developer,https://ekaterinburg.hh.ru/vacancy/40097139?query=react,Минск,ООО WM Reply,,Determining the structure and design of web pages. Developing features to enhance the user experience. Ensuring web design is optimized...
Frontend Developer / Vue.js (Уфа),https://ekaterinburg.hh.ru/vacancy/33629489?query=react,Уфа,ООО Тагес Джамп,до 120 000 руб.,Проектирование и разработка frontend-части web-приложений. Развитие и поддержка существующих проектов. Разработка независимых компонентов. Интеграция с Backend (JSON REST...
Frontend-разработчик Middle (JS),https://ekaterinburg.hh.ru/vacancy/41127433?query=react,Москва,Morko,90 000-150 000 руб.,"Тесты Jest, enzyme. — Работаем по Канбан (не только переносим задач из колонки в колонку, но и выставляем эстимейты с пониманием..."
